plateifu,iauname,objra,objdec
10148-6104,-9999,57.100883,67.770444
10148-9101,-9999,56.589603,68.111347
10148-9102,-9999,56.874888,68.094681
10149-12701,-9999,56.719893,68.107875
10149-12702,-9999,56.649674,68.160375
10149-12703,-9999,56.807665,68.156625
10149-12704,-9999,56.63212,68.059125
10149-12705,-9999,56.790111,68.055375
10149-1901,-9999,57.665758,68.070567
10149-1902,-9999,55.739921,68.084972
10149-3701,-9999,57.050938,68.441033
10149-3702,-9999,55.867567,68.274656
10149-3703,-9999,56.232562,67.787128
10149-3704,-9999,57.448929,67.889014
10149-6101,-9999,57.418721,68.367169
10149-6102,-9999,56.194842,68.453178
10149-6103,-9999,55.806779,67.918458
10149-6104,-9999,57.100883,67.770444
10149-9101,-9999,56.574649,68.114542
10149-9102,-9999,56.859935,68.097875
10150-12701,-9999,56.702338,68.111625
10150-12702,-9999,56.63212,68.164125
10150-12703,-9999,56.790111,68.160375
10150-12704,-9999,56.614565,68.062875
10150-12705,-9999,56.772556,68.059125
10150-1901,-9999,57.665758,68.070567
10150-1902,-9999,55.739921,68.084972
10150-3701,-9999,57.050938,68.441033
10150-3702,-9999,55.867567,68.274656
10150-3703,-9999,56.232562,67.787128
10150-3704,-9999,57.448929,67.889014
10150-6101,-9999,57.418721,68.367169
10150-6102,-9999,56.194842,68.453178
10150-6103,-9999,55.806779,67.918458
10150-6104,-9999,57.100883,67.770444
10150-9101,-9999,56.559695,68.117736
10150-9102,-9999,56.844981,68.101069
10213-12701,J081631.19+434342.4,124.129949071,43.7284583177
10213-12702,J081705.44+432103.6,124.272776248,43.3509915523
10213-12703,J081231.91+441803.1,123.132893944,44.3009344657
10213-12704,J081757.24+425235.5,124.485516908,42.8806679257
10213-12705,J081143.47+413317.9,122.931168093,41.5549778649
10213-1901,J081619.86+432651.4,124.082783686,43.4476368387
10213-1902,J081348.74+413858.1,123.453117209,41.6494790245
10213-3701,J081128.09+433817.9,122.867048301,43.6383451379
10213-3702,J081101.26+441319.4,122.755283436,44.2220679155
10213-3703,J081522.35+440352.1,123.8433,44.06446
10213-3704,J081344.36+434514.5,123.434850902,43.7540199483
10213-6101,J080652.26+431924.6,121.717807261,43.3235006561
10213-6102,J081042.03+421640.2,122.675141761,42.2778481495
10213-6103,J080423.13+433457.2,121.096386831,43.5825885672
10213-6104,J081017.93+422419.8,122.574759642,42.4055177083
10213-9101,J080927.23+435605.7,122.363515778,43.9349178253
10213-9102,J081703.65+422241.8,124.265207921,42.3782637188
10214-12701,J080442.89+352351.0,121.177734666,35.4005287119
